"","stealTrial","earnTrial","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","instr_response.keys","instr_response.rt","key_resp_2.keys","key_resp_2.rt","introKey.keys","introKey.rt","Trial.Start","Trial.Start.Wall","choiceResponse.keys","choiceResponse.rt","choiceType","Trial.End","Trial.End.Wall","nKeyPress","gamePressTimes","riskDisplaySide","session","participant","frameRate","expName","date","type","X","stealTrial","earnTrial","trials_thisRepN","trials_thisTrialN","trials_thisN","trials_thisIndex","instr_response_keys","instr_response_rt","key_resp_2_keys","key_resp_2_rt","introKey_keys","introKey_rt","Trial_Start","Trial_Start_Wall","choiceResponse_keys","choiceResponse_rt","choiceType","Trial_End","Trial_End_Wall","nKeyPress","gamePressTimes","riskDisplaySide","session","participant","frameRate","expName","date","type","PressTime_1","PressTime_2","PressTime_3","PressTime_4","PressTime_5","PressTime_6","PressTime_7","PressTime_8","PressTime_9","PressTime_10","PressTime_11","PressTime_12","PressTime_13","PressTime_14","PressTime_15","PressTime_16","PressTime_1_Diff","PressTime_2_Diff","PressTime_3_Diff","PressTime_4_Diff","PressTime_5_Diff","PressTime_6_Diff","PressTime_7_Diff","PressTime_8_Diff","PressTime_9_Diff","PressTime_10_Diff","PressTime_11_Diff","PressTime_12_Diff","PressTime_13_Diff","PressTime_14_Diff","PressTime_15_Diff","PressTime_16_Diff","PressTimeDiffMean"
"14",30.56,27.78,0,10,10,13,"",NA,"",NA,"",NA,176.063397884,"Wed Dec  9 11:04:33 2015",1,0.818912029266,"bank",179.968319893,"Wed Dec  9 11:04:36 2015",10,"[177.50940799713135, 177.64267492294312, 177.81273078918457, 177.9803910255432, 178.1604299545288, 178.32743501663208, 178.46748185157776, 178.63491201400757, 178.78215193748474, 178.9553029537201]","right",1,"PROA001",59.8705610638,"PSAP_PRO_A","2015_Dec_09_1102","A",NA,30.56,27.78,0,10,10,13,NA,NA,NA,NA,NA,NA,176.0633979,"Wed Dec  9 11:04:33 2015",1,0.818912029,"bank",179.9683199,"Wed Dec  9 11:04:36 2015",10,"[177.50940799713135, 177.64267492294312, 177.81273078918457, 177.9803910255432, 178.1604299545288, 178.32743501663208, 178.46748185157776, 178.63491201400757, 178.78215193748474, 178.9553029537201]","right",1,"PROA001",59.87056106,"PSAP_PRO_A","2015_Dec_09_1102","A",176.0633979,177.509408,177.6426749,177.8127308,177.980391,178.16043,178.327435,178.4674819,178.634912,178.7821519,178.955303,NA,NA,NA,NA,NA,NA,1.446010113,0.133266926,0.170055866,0.167660236,0.180038929,0.167005062,0.140046835,0.167430162,0.147239923,0.173151016,NA,NA,NA,NA,NA,0.289190507
"15",55.04,24.46,0,11,11,78,"",NA,"",NA,"",NA,179.968973875,"Wed Dec  9 11:04:36 2015",0,0.235218048096,"bank",183.444857836,"Wed Dec  9 11:04:40 2015",10,"[180.92608189582825, 181.08313488960266, 181.26743984222412, 181.4343798160553, 181.6014368534088, 181.76804995536804, 181.94102096557617, 182.10210394859314, 182.25880599021912, 182.42941093444824]","left",1,"PROA001",59.8705610638,"PSAP_PRO_A","2015_Dec_09_1102","A",NA,55.04,24.46,0,11,11,78,NA,NA,NA,NA,NA,NA,179.9689739,"Wed Dec  9 11:04:36 2015",0,0.235218048,"bank",183.4448578,"Wed Dec  9 11:04:40 2015",10,"[180.92608189582825, 181.08313488960266, 181.26743984222412, 181.4343798160553, 181.6014368534088, 181.76804995536804, 181.94102096557617, 182.10210394859314, 182.25880599021912, 182.42941093444824]","left",1,"PROA001",59.87056106,"PSAP_PRO_A","2015_Dec_09_1102","A",179.9689739,180.9260819,181.0831349,181.2674398,181.4343798,181.6014369,181.76805,181.941021,182.1021039,182.258806,182.4294109,NA,NA,NA,NA,NA,NA,0.957108021,0.157052994,0.184304953,0.166939974,0.167057037,0.166613102,0.17297101,0.161082983,0.156702042,0.170604944,NA,NA,NA,NA,NA,0.246043706
"16",56.41,31.34,0,12,12,62,"",NA,"",NA,"",NA,183.445740938,"Wed Dec  9 11:04:40 2015",1,0.484862089157,"bank",187.066359997,"Wed Dec  9 11:04:44 2015",10,"[184.59700894355774, 184.7474398612976, 184.93104791641235, 185.0916759967804, 185.25209999084473, 185.429349899292, 185.57963395118713, 185.7466959953308, 185.89393091201782, 186.06043481826782]","right",1,"PROA001",59.8705610638,"PSAP_PRO_A","2015_Dec_09_1102","A",NA,56.41,31.34,0,12,12,62,NA,NA,NA,NA,NA,NA,183.4457409,"Wed Dec  9 11:04:40 2015",1,0.484862089,"bank",187.06636,"Wed Dec  9 11:04:44 2015",10,"[184.59700894355774, 184.7474398612976, 184.93104791641235, 185.0916759967804, 185.25209999084473, 185.429349899292, 185.57963395118713, 185.7466959953308, 185.89393091201782, 186.06043481826782]","right",1,"PROA001",59.87056106,"PSAP_PRO_A","2015_Dec_09_1102","A",183.4457409,184.5970089,184.7474399,184.9310479,185.091676,185.2521,185.4293499,185.579634,185.746696,185.8939309,186.0604348,NA,NA,NA,NA,NA,NA,1.151268006,0.150430918,0.183608055,0.16062808,0.160423994,0.177249908,0.150284052,0.167062044,0.147234917,0.166503906,NA,NA,NA,NA,NA,0.261469388
"17",47.88,31.92,0,13,13,43,"",NA,"",NA,"",NA,187.066957951,"Wed Dec  9 11:04:44 2015",0,0.418614149094,"bank",190.724075794,"Wed Dec  9 11:04:47 2015",10,"[188.26524090766907, 188.4216868877411, 188.58883094787598, 188.7494819164276, 188.8998019695282, 189.06688380241394, 189.23759198188782, 189.40104293823242, 189.551265001297, 189.7078139781952]","left",1,"PROA001",59.8705610638,"PSAP_PRO_A","2015_Dec_09_1102","A",NA,47.88,31.92,0,13,13,43,NA,NA,NA,NA,NA,NA,187.066958,"Wed Dec  9 11:04:44 2015",0,0.418614149,"bank",190.7240758,"Wed Dec  9 11:04:47 2015",10,"[188.26524090766907, 188.4216868877411, 188.58883094787598, 188.7494819164276, 188.8998019695282, 189.06688380241394, 189.23759198188782, 189.40104293823242, 189.551265001297, 189.7078139781952]","left",1,"PROA001",59.87056106,"PSAP_PRO_A","2015_Dec_09_1102","A",187.066958,188.2652409,188.4216869,188.5888309,188.7494819,188.899802,189.0668838,189.237592,189.4010429,189.551265,189.707814,NA,NA,NA,NA,NA,NA,1.198282957,0.15644598,0.16714406,0.160650969,0.150320053,0.167081833,0.170708179,0.163450956,0.150222063,0.156548977,NA,NA,NA,NA,NA,0.264085603
"18",22.2,21.98,0,14,14,12,"",NA,"",NA,"",NA,190.724704027,"Wed Dec  9 11:04:47 2015",0,0.568391084671,"bank",194.485721827,"Wed Dec  9 11:04:51 2015",10,"[192.07385897636414, 192.21329998970032, 192.37443494796753, 192.5304718017578, 192.691743850708, 192.84868788719177, 192.97582483291626, 193.14706587791443, 193.30932688713074, 193.47627902030945]","left",1,"PROA001",59.8705610638,"PSAP_PRO_A","2015_Dec_09_1102","A",NA,22.2,21.98,0,14,14,12,NA,NA,NA,NA,NA,NA,190.724704,"Wed Dec  9 11:04:47 2015",0,0.568391085,"bank",194.4857218,"Wed Dec  9 11:04:51 2015",10,"[192.07385897636414, 192.21329998970032, 192.37443494796753, 192.5304718017578, 192.691743850708, 192.84868788719177, 192.97582483291626, 193.14706587791443, 193.30932688713074, 193.47627902030945]","left",1,"PROA001",59.87056106,"PSAP_PRO_A","2015_Dec_09_1102","A",190.724704,192.073859,192.2133,192.3744349,192.5304718,192.6917439,192.8486879,192.9758248,193.1470659,193.3093269,193.476279,NA,NA,NA,NA,NA,NA,1.349154949,0.139441013,0.161134958,0.156036854,0.161272049,0.156944036,0.127136946,0.171241045,0.162261009,0.166952133,NA,NA,NA,NA,NA,0.275157499
"19",8.43,21.07,0,15,15,7,"",NA,"",NA,"",NA,194.486612797,"Wed Dec  9 11:04:51 2015",0,0.719668865204,"bank",198.593972921,"Wed Dec  9 11:04:55 2015",10,"[195.94818592071533, 196.09897780418396, 196.25874185562134, 196.40537285804749, 196.56659984588623, 196.72293901443481, 196.8767077922821, 197.0234658718109, 197.17091488838196, 197.57505893707275]","left",1,"PROA001",59.8705610638,"PSAP_PRO_A","2015_Dec_09_1102","A",NA,8.43,21.07,0,15,15,7,NA,NA,NA,NA,NA,NA,194.4866128,"Wed Dec  9 11:04:51 2015",0,0.719668865,"bank",198.5939729,"Wed Dec  9 11:04:55 2015",10,"[195.94818592071533, 196.09897780418396, 196.25874185562134, 196.40537285804749, 196.56659984588623, 196.72293901443481, 196.8767077922821, 197.0234658718109, 197.17091488838196, 197.57505893707275]","left",1,"PROA001",59.87056106,"PSAP_PRO_A","2015_Dec_09_1102","A",194.4866128,195.9481859,196.0989778,196.2587419,196.4053729,196.5665998,196.722939,196.8767078,197.0234659,197.1709149,197.5750589,NA,NA,NA,NA,NA,NA,1.461573124,0.150791883,0.159764051,0.146631002,0.161226988,0.156339169,0.153768778,0.14675808,0.147449017,0.404144049,NA,NA,NA,NA,NA,0.308844614
"20",47.59,21.15,0,16,16,75,"",NA,"",NA,"",NA,198.594863892,"Wed Dec  9 11:04:55 2015",0,0.435710906982,"bank",202.134693861,"Wed Dec  9 11:04:59 2015",10,"[199.76225686073303, 199.9071090221405, 200.06349897384644, 200.21078085899353, 200.36398887634277, 200.52504682540894, 200.66817378997803, 200.81857895851135, 200.96588683128357, 201.12633991241455]","left",1,"PROA001",59.8705610638,"PSAP_PRO_A","2015_Dec_09_1102","A",NA,47.59,21.15,0,16,16,75,NA,NA,NA,NA,NA,NA,198.5948639,"Wed Dec  9 11:04:55 2015",0,0.435710907,"bank",202.1346939,"Wed Dec  9 11:04:59 2015",10,"[199.76225686073303, 199.9071090221405, 200.06349897384644, 200.21078085899353, 200.36398887634277, 200.52504682540894, 200.66817378997803, 200.81857895851135, 200.96588683128357, 201.12633991241455]","left",1,"PROA001",59.87056106,"PSAP_PRO_A","2015_Dec_09_1102","A",198.5948639,199.7622569,199.907109,200.063499,200.2107809,200.3639889,200.5250468,200.6681738,200.818579,200.9658868,201.1263399,NA,NA,NA,NA,NA,NA,1.167392969,0.144852161,0.156389952,0.147281885,0.153208017,0.161057949,0.143126965,0.150405169,0.147307873,0.160453081,NA,NA,NA,NA,NA,0.253147602
"21",29.59,73.97,0,17,17,6,"",NA,"",NA,"",NA,202.135578871,"Wed Dec  9 11:04:59 2015",1,0.368856906891,"bank",205.62566781,"Wed Dec  9 11:05:02 2015",10,"[203.24712491035461, 203.39742994308472, 203.54812788963318, 203.69864583015442, 203.84841895103455, 204.0020408630371, 204.16581296920776, 204.31600093841553, 204.47641801834106, 204.6169798374176]","right",1,"PROA001",59.8705610638,"PSAP_PRO_A","2015_Dec_09_1102","A",NA,29.59,73.97,0,17,17,6,NA,NA,NA,NA,NA,NA,202.1355789,"Wed Dec  9 11:04:59 2015",1,0.368856907,"bank",205.6256678,"Wed Dec  9 11:05:02 2015",10,"[203.24712491035461, 203.39742994308472, 203.54812788963318, 203.69864583015442, 203.84841895103455, 204.0020408630371, 204.16581296920776, 204.31600093841553, 204.47641801834106, 204.6169798374176]","right",1,"PROA001",59.87056106,"PSAP_PRO_A","2015_Dec_09_1102","A",202.1355789,203.2471249,203.3974299,203.5481279,203.6986458,203.848419,204.0020409,204.165813,204.3160009,204.476418,204.6169798,NA,NA,NA,NA,NA,NA,1.111546039,0.150305033,0.150697947,0.150517941,0.149773121,0.153621912,0.163772106,0.150187969,0.16041708,0.140561819,NA,NA,NA,NA,NA,0.248140097
"22",10.16,5.08,0,18,18,69,"",NA,"",NA,"",NA,205.626559973,"Wed Dec  9 11:05:02 2015",1,0.402281045914,"bank",209.099603891,"Wed Dec  9 11:05:06 2015",10,"[206.67106699943542, 206.8277039527893, 207.0115098953247, 207.15568685531616, 207.32289385795593, 207.45649886131287, 207.61274886131287, 207.76241302490234, 207.91705179214478, 208.09118795394897]","right",1,"PROA001",59.8705610638,"PSAP_PRO_A","2015_Dec_09_1102","A",NA,10.16,5.08,0,18,18,69,NA,NA,NA,NA,NA,NA,205.62656,"Wed Dec  9 11:05:02 2015",1,0.402281046,"bank",209.0996039,"Wed Dec  9 11:05:06 2015",10,"[206.67106699943542, 206.8277039527893, 207.0115098953247, 207.15568685531616, 207.32289385795593, 207.45649886131287, 207.61274886131287, 207.76241302490234, 207.91705179214478, 208.09118795394897]","right",1,"PROA001",59.87056106,"PSAP_PRO_A","2015_Dec_09_1102","A",205.62656,206.671067,206.827704,207.0115099,207.1556869,207.3228939,207.4564989,207.6127489,207.762413,207.9170518,208.091188,NA,NA,NA,NA,NA,NA,1.044507026,0.156636953,0.183805943,0.14417696,0.167207003,0.133605003,0.15625,0.149664164,0.154638767,0.174136162,NA,NA,NA,NA,NA,0.246462798
"23",50.88,25.44,0,19,19,70,"",NA,"",NA,"",NA,209.100489855,"Wed Dec  9 11:05:06 2015",0,0.235226869583,"bank",212.453743935,"Wed Dec  9 11:05:09 2015",10,"[210.06203699111938, 210.20449995994568, 210.37216997146606, 210.53276896476746, 210.70292901992798, 210.84713697433472, 210.98025178909302, 211.1476559638977, 211.3147599697113, 211.43753790855408]","left",1,"PROA001",59.8705610638,"PSAP_PRO_A","2015_Dec_09_1102","A",NA,50.88,25.44,0,19,19,70,NA,NA,NA,NA,NA,NA,209.1004899,"Wed Dec  9 11:05:06 2015",0,0.23522687,"bank",212.4537439,"Wed Dec  9 11:05:09 2015",10,"[210.06203699111938, 210.20449995994568, 210.37216997146606, 210.53276896476746, 210.70292901992798, 210.84713697433472, 210.98025178909302, 211.1476559638977, 211.3147599697113, 211.43753790855408]","left",1,"PROA001",59.87056106,"PSAP_PRO_A","2015_Dec_09_1102","A",209.1004899,210.062037,210.2045,210.37217,210.532769,210.702929,210.847137,210.9802518,211.147656,211.31476,211.4375379,NA,NA,NA,NA,NA,NA,0.961547136,0.142462969,0.167670012,0.160598993,0.170160055,0.144207954,0.133114815,0.167404175,0.167104006,0.122777939,NA,NA,NA,NA,NA,0.233704805
