"","participant","stealTrial","actualChoice","actualChoicebin","valSteal","valBank","valDiff","probSteal","probBank","modelChoice","modelChoicebin","LL","tempr","agg"
"1","PROV025",50,"bank",0,10.3869067839782,25,-14.6130932160218,2.98904365012968e-13,0.999999999999701,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"2","PROV025",15,"bank",0,1.65490047330081,10,-8.3450995266992,7.0412837615325e-08,0.999999929587162,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"3","PROV025",14,"steal",1,2.52810110436855,9,-6.47189889563145,2.83868875916878e-06,0.999997161311241,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"4","PROV025",39,"bank",0,4.92940283980483,26,-21.0705971601952,8.7294880084272e-19,1,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"5","PROV025",97,"bank",0,2.09150078883467,43,-40.9084992111653,8.67931723058708e-36,1,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"6","PROV025",9,"bank",0,4.92940283980483,8,-3.07059716019517,0.00232951432828823,0.997670485671712,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"7","PROV025",32,"bank",0,16.9359115169863,24,-7.06408848301374,8.82205432731019e-07,0.999999117794567,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"8","PROV025",56,"steal",1,3.40130173543629,37,-33.5986982645637,1.59774929606618e-29,1,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"9","PROV025",56,"bank",0,5.80260347087257,28,-22.1973965291274,9.44584884507297e-20,1,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"10","PROV025",48,"bank",0,5.80260347087257,32,-26.1973965291274,3.52333906065403e-23,1,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"11","PROV025",54,"bank",0,22.1751153033927,24,-1.8248846966073,0.0265614407669502,0.97343855923305,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"12","PROV025",99,"bank",0,7.11240441747418,44,-36.8875955825258,2.42486755414294e-32,1,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"13","PROV025",62,"bank",0,3.83790205097015,41,-37.1620979490298,1.41065180703746e-32,1,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"14","PROV025",17,"bank",0,6.23920378640644,16,-9.76079621359356,4.30822519886084e-09,0.999999995691775,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"15","PROV025",58,"bank",0,5.3660031553387,29,-23.6339968446613,5.54589452474555e-21,1,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"16","PROV025",15,"bank",0,14.7529099393169,14,0.752909939316906,0.815455013254197,0.184544986745803,"steal",1,-335.136349229286,1.9734803778928,0.218300157766935
"17","PROV025",40,"bank",0,12.7882085194145,36,-23.2117914805855,1.2759446895126e-20,1,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"18","PROV025",56,"bank",0,6.23920378640644,28,-21.7607962135936,2.23582979487614e-19,1,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"19","PROV025",65,"steal",1,7.98560504854192,29,-21.0143949514581,9.75344617976953e-19,1,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"20","PROV025",47,"bank",0,11.041807257279,26,-14.958192742721,1.51271544298817e-13,0.999999999999849,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"21","PROV025",50,"bank",0,17.3725118325201,28,-10.6274881674799,7.78899285292827e-10,0.999999999221101,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"22","PROV025",51,"bank",0,4.71110268203789,34,-29.2888973179621,7.89435755490163e-26,1,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"23","PROV025",65,"bank",0,12.7882085194145,36,-23.2117914805855,1.2759446895126e-20,1,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"24","PROV025",41,"bank",0,1.87320063106774,37,-35.1267993689323,7.83098726900956e-31,1,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"25","PROV025",30,"bank",0,2.74640126213548,20,-17.2535987378645,1.6309095049428e-15,0.999999999999998,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"26","PROV025",68,"bank",0,12.7882085194145,27,-14.2117914805855,6.5989766717915e-13,0.99999999999934,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"27","PROV025",22,"bank",0,6.02090362863951,21,-14.9790963713605,1.45158119481871e-13,0.999999999999855,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"28","PROV025",34,"bank",0,3.18300157766935,23,-19.8169984223306,1.03612629802414e-17,1,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"29","PROV025",22,"bank",0,12.1333080461137,20,-7.86669195388632,1.81001161074848e-07,0.999999818998839,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"30","PROV025",44,"bank",0,9.29540599514353,22,-12.7045940048565,1.29197111105107e-11,0.99999999998708,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"31","PROV025",43,"bank",0,16.2810110436855,24,-7.71898895631455,2.42255354138377e-07,0.999999757744646,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"32","PROV025",52,"bank",0,16.7176113592193,23,-6.28238864078068,4.12611267565332e-06,0.999995873887324,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"33","PROV025",36,"bank",0,5.3660031553387,27,-21.6339968446613,2.871540078468e-19,1,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"34","PROV025",38,"steal",1,12.1333080461137,28,-15.8666919538863,2.51830503194813e-14,0.999999999999975,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
"35","PROV025",86,"bank",0,4.71110268203789,43,-38.2888973179621,1.52641297283891e-33,1,"bank",0,-335.136349229286,1.9734803778928,0.218300157766935
