"","participant","stealTrial","actualChoice","actualChoicebin","valSteal","valBank","valDiff","probSteal","probBank","modelChoice","modelChoicebin","LL","tempr","agg"
"1","PROV022",30,"bank",0,0.3,22,-21.7,7.5691779143664e-48,1,"bank",0,-361.350977898941,5,0.01
"2","PROV022",17,"bank",0,0.17,16,-15.83,4.22271486776676e-35,1,"bank",0,-361.350977898941,5,0.01
"3","PROV022",35,"bank",0,0.35,26,-25.65,2.00323867363752e-56,1,"bank",0,-361.350977898941,5,0.01
"4","PROV022",53,"bank",0,0.53,39,-38.47,2.90707613510345e-84,1,"bank",0,-361.350977898941,5,0.01
"5","PROV022",24,"bank",0,0.24,23,-22.76,3.77822623576703e-50,1,"bank",0,-361.350977898941,5,0.01
"6","PROV022",58,"bank",0,0.58,29,-28.42,1.93532595720465e-62,1,"bank",0,-361.350977898941,5,0.01
"7","PROV022",32,"bank",0,0.32,21,-20.68,1.24151099820666e-45,1,"bank",0,-361.350977898941,5,0.01
"8","PROV022",23,"bank",0,0.23,22,-21.77,5.33390952521596e-48,1,"bank",0,-361.350977898941,5,0.01
"9","PROV022",56,"bank",0,0.56,37,-36.44,7.43952824960612e-80,1,"bank",0,-361.350977898941,5,0.01
"10","PROV022",47,"bank",0,0.47,35,-34.53,1.04485902765736e-75,1,"bank",0,-361.350977898941,5,0.01
"11","PROV022",70,"bank",0,0.7,39,-38.3,6.80153152780392e-84,1,"bank",0,-361.350977898941,5,0.01
"12","PROV022",21,"bank",0,0.21,14,-13.79,1.13604483826234e-30,1,"bank",0,-361.350977898941,5,0.01
"13","PROV022",43,"bank",0,0.43,24,-23.57,6.58256729522976e-52,1,"bank",0,-361.350977898941,5,0.01
"14","PROV022",45,"bank",0,0.45,18,-17.55,7.7742627216209e-39,1,"bank",0,-361.350977898941,5,0.01
"15","PROV022",38,"bank",0,0.38,28,-27.62,1.05665216974501e-60,1,"bank",0,-361.350977898941,5,0.01
"16","PROV022",72,"bank",0,0.72,29,-28.28,3.89726788615881e-62,1,"bank",0,-361.350977898941,5,0.01
