"","participant","stealTrial","actualChoice","actualChoicebin","valSteal","valBank","valDiff","probSteal","probBank","modelChoice","modelChoicebin","LL","tempr","agg"
"1","PROV017",20,"steal",1,7,18,-11,0.0637406748838001,0.9362593251162,"bank",0,-428.329856316966,0.244279054349634,2
"2","PROV017",30,"steal",1,39,22,17,0.984522111858738,0.0154778881412616,"steal",1,-428.329856316966,0.244279054349634,2
"3","PROV017",99,"steal",1,57,44,13,0.959906732803953,0.0400932671960473,"steal",1,-428.329856316966,0.244279054349634,2
"4","PROV017",86,"steal",1,189,38,151,1,0,"steal",1,-428.329856316966,0.244279054349634,2
"5","PROV017",32,"steal",1,175,18,157,1,0,"steal",1,-428.329856316966,0.244279054349634,2
"6","PROV017",58,"steal",1,9,29,-20,0.00749808649158786,0.992501913508412,"bank",0,-428.329856316966,0.244279054349634,2
"7","PROV017",40,"steal",1,109,36,73,0.999999981990582,1.80094180679546e-08,"steal",1,-428.329856316966,0.244279054349634,2
"8","PROV017",65,"steal",1,65,29,36,0.999848389765678,0.000151610234321753,"steal",1,-428.329856316966,0.244279054349634,2
"9","PROV017",14,"steal",1,15,9,6,0.812399014381322,0.187600985618678,"steal",1,-428.329856316966,0.244279054349634,2
"10","PROV017",39,"steal",1,37,26,11,0.9362593251162,0.0637406748838,"steal",1,-428.329856316966,0.244279054349634,2
"11","PROV017",29,"steal",1,95,26,69,0.999999952152875,4.78471252618462e-08,"steal",1,-428.329856316966,0.244279054349634,2
"12","PROV017",16,"steal",1,33,11,22,0.9953864764868,0.00461352351320043,"steal",1,-428.329856316966,0.244279054349634,2
"13","PROV017",32,"steal",1,23,21,2,0.619766700824313,0.380233299175687,"steal",1,-428.329856316966,0.244279054349634,2
"14","PROV017",23,"bank",0,1,54,-53,2.38385349429002e-06,0.999997616146506,"bank",0,-428.329856316966,0.244279054349634,2
"15","PROV017",24,"steal",1,145,18,127,0.999999999999966,3.35287353436797e-14,"steal",1,-428.329856316966,0.244279054349634,2
"16","PROV017",56,"steal",1,23,37,-14,0.0316790884125541,0.968320911587446,"bank",0,-428.329856316966,0.244279054349634,2
"17","PROV017",36,"steal",1,17,24,-7,0.1531697626329,0.8468302373671,"bank",0,-428.329856316966,0.244279054349634,2
"18","PROV017",30,"steal",1,17,20,-3,0.324572440556966,0.675427559443034,"bank",0,-428.329856316966,0.244279054349634,2
"19","PROV017",17,"bank",0,49,16,33,0.999684554391589,0.000315445608410569,"steal",1,-428.329856316966,0.244279054349634,2
