"","participant","stealTrial","actualChoice","actualChoicebin","valSteal","valBank","valDiff","probSteal","probBank","modelChoice","modelChoicebin","LL","tempr","agg"
"1","PROV010",22,"steal",1,47,21,26,0.998036182030064,0.00196381796993583,"steal",1,-336.183492842657,0.239649961841869,2
"2","PROV010",40,"steal",1,117,16,101,0.999999999969235,3.07649461461779e-11,"steal",1,-336.183492842657,0.239649961841869,2
"3","PROV010",40,"steal",1,151,22,129,0.999999999999962,3.75255382323303e-14,"steal",1,-336.183492842657,0.239649961841869,2
"4","PROV010",54,"steal",1,93,40,53,0.999996953298489,3.04670151096698e-06,"steal",1,-336.183492842657,0.239649961841869,2
"5","PROV010",23,"bank",0,1,54,-53,3.04670151110852e-06,0.999996953298489,"bank",0,-336.183492842657,0.239649961841869,2
"6","PROV010",17,"steal",1,49,16,33,0.999632510678782,0.000367489321217995,"steal",1,-336.183492842657,0.239649961841869,2
"7","PROV010",47,"steal",1,97,21,76,0.999999987696685,1.23033149224128e-08,"steal",1,-336.183492842657,0.239649961841869,2
"8","PROV010",23,"steal",1,45,22,23,0.99597801299778,0.00402198700222034,"steal",1,-336.183492842657,0.239649961841869,2
"9","PROV010",30,"steal",1,39,22,17,0.983276070890028,0.0167239291099718,"steal",1,-336.183492842657,0.239649961841869,2
"10","PROV010",32,"steal",1,7,29,-22,0.00510559727640656,0.994894402723593,"bank",0,-336.183492842657,0.239649961841869,2
"11","PROV010",47,"steal",1,93,26,67,0.999999893651835,1.06348164941039e-07,"steal",1,-336.183492842657,0.239649961841869,2
"12","PROV010",58,"steal",1,155,26,129,0.999999999999962,3.75255382323303e-14,"steal",1,-336.183492842657,0.239649961841869,2
"13","PROV010",38,"steal",1,103,28,75,0.999999984364895,1.56351047664316e-08,"steal",1,-336.183492842657,0.239649961841869,2
"14","PROV010",36,"steal",1,17,24,-7,0.157420197313893,0.842579802686107,"bank",0,-336.183492842657,0.239649961841869,2
"15","PROV010",34,"steal",1,21,23,-2,0.382417451679836,0.617582548320164,"bank",0,-336.183492842657,0.239649961841869,2
"16","PROV010",24,"steal",1,25,23,2,0.617582548320164,0.382417451679836,"steal",1,-336.183492842657,0.239649961841869,2
"17","PROV010",39,"steal",1,37,26,11,0.933152178574984,0.0668478214250163,"steal",1,-336.183492842657,0.239649961841869,2
"18","PROV010",56,"steal",1,223,31,192,1,0,"steal",1,-336.183492842657,0.239649961841869,2
"19","PROV010",32,"steal",1,23,21,2,0.617582548320164,0.382417451679836,"steal",1,-336.183492842657,0.239649961841869,2
"20","PROV010",31,"steal",1,3,28,-25,0.00249430171247055,0.997505698287529,"bank",0,-336.183492842657,0.239649961841869,2
"21","PROV010",77,"steal",1,97,43,54,0.999997602539095,2.39746090491266e-06,"steal",1,-336.183492842657,0.239649961841869,2
"22","PROV010",52,"steal",1,139,21,118,0.999999999999477,5.23359133808299e-13,"steal",1,-336.183492842657,0.239649961841869,2
"23","PROV010",32,"steal",1,175,18,157,1,0,"steal",1,-336.183492842657,0.239649961841869,2
"24","PROV010",70,"steal",1,175,39,136,0.999999999999993,7.105427357601e-15,"steal",1,-336.183492842657,0.239649961841869,2
"25","PROV010",86,"steal",1,35,43,-8,0.128174162273746,0.871825837726254,"bank",0,-336.183492842657,0.239649961841869,2
"26","PROV010",4,"bank",0,13,3,10,0.916559992163005,0.0834400078369955,"steal",1,-336.183492842657,0.239649961841869,2
"27","PROV010",51,"steal",1,35,34,1,0.559627386063492,0.440372613936508,"steal",1,-336.183492842657,0.239649961841869,2
