"","participant","stealTrial","actualChoice","actualChoicebin","valSteal","valBank","valDiff","probSteal","probBank","modelChoice","modelChoicebin","LL","tempr","agg"
"1","PROV029",32,"steal",1,175,18,157,1,0,"steal",1,-338.753520112325,0.239647404825006,2
"2","PROV029",29,"steal",1,95,26,69,0.999999934135814,6.58641862161247e-08,"steal",1,-338.753520112325,0.239647404825006,2
"3","PROV029",15,"steal",1,7,10,-3,0.32762595703143,0.67237404296857,"bank",0,-338.753520112325,0.239647404825006,2
"4","PROV029",32,"steal",1,7,29,-22,0.00510588303013552,0.994894116969865,"bank",0,-338.753520112325,0.239647404825006,2
"5","PROV029",32,"steal",1,23,21,2,0.617581340515876,0.382418659484124,"steal",1,-338.753520112325,0.239647404825006,2
"6","PROV029",16,"steal",1,33,11,22,0.994894116969865,0.00510588303013548,"steal",1,-338.753520112325,0.239647404825006,2
"7","PROV029",44,"steal",1,77,22,55,0.999998113163899,1.88683610102824e-06,"steal",1,-338.753520112325,0.239647404825006,2
"8","PROV029",62,"steal",1,27,41,-14,0.0337297386643103,0.96627026133569,"bank",0,-338.753520112325,0.239647404825006,2
"9","PROV029",36,"steal",1,41,27,14,0.96627026133569,0.0337297386643103,"steal",1,-338.753520112325,0.239647404825006,2
"10","PROV029",40,"steal",1,117,16,101,0.999999999969227,3.07729397519552e-11,"steal",1,-338.753520112325,0.239647404825006,2
"11","PROV029",72,"steal",1,73,29,44,0.999973662378095,2.63376219050704e-05,"steal",1,-338.753520112325,0.239647404825006,2
"12","PROV029",50,"steal",1,151,28,123,0.999999999999842,1.57873714101697e-13,"steal",1,-338.753520112325,0.239647404825006,2
"13","PROV029",99,"steal",1,57,44,13,0.957524190638512,0.0424758093614884,"steal",1,-338.753520112325,0.239647404825006,2
"14","PROV029",32,"steal",1,171,18,153,1,2.22044604925031e-16,"steal",1,-338.753520112325,0.239647404825006,2
"15","PROV029",54,"steal",1,195,24,171,1,0,"steal",1,-338.753520112325,0.239647404825006,2
"16","PROV029",40,"steal",1,109,36,73,0.999999974745477,2.5254522695306e-08,"steal",1,-338.753520112325,0.239647404825006,2
"17","PROV029",10,"steal",1,41,5,36,0.999820885573858,0.000179114426141713,"steal",1,-338.753520112325,0.239647404825006,2
"18","PROV029",86,"steal",1,35,43,-8,0.128176448173105,0.871823551826895,"bank",0,-338.753520112325,0.239647404825006,2
"19","PROV029",52,"steal",1,139,21,118,0.999999999999477,5.23359133808299e-13,"steal",1,-338.753520112325,0.239647404825006,2
"20","PROV029",51,"steal",1,35,34,1,0.559626755900462,0.440373244099538,"steal",1,-338.753520112325,0.239647404825006,2
"21","PROV029",52,"steal",1,145,23,122,0.999999999999799,2.00728322852228e-13,"steal",1,-338.753520112325,0.239647404825006,2
"22","PROV029",38,"steal",1,11,28,-17,0.0167246439443411,0.983275356055659,"bank",0,-338.753520112325,0.239647404825006,2
"23","PROV029",43,"steal",1,189,19,170,1,0,"steal",1,-338.753520112325,0.239647404825006,2
