"","participant","stealTrial","actualChoice","actualChoicebin","valSteal","valBank","valDiff","probSteal","probBank","modelChoice","modelChoicebin","LL","tempr","agg"
"1","PROV028",14,"steal",1,15,9,6,0.808135450314086,0.191864549685914,"steal",1,-320.763329225037,0.239656671386401,2
"2","PROV028",32,"steal",1,175,18,157,1,0,"steal",1,-320.763329225037,0.239656671386401,2
"3","PROV028",29,"steal",1,95,26,69,0.999999934177913,6.58220865590309e-08,"steal",1,-320.763329225037,0.239656671386401,2
"4","PROV028",43,"steal",1,189,19,170,1,0,"steal",1,-320.763329225037,0.239656671386401,2
"5","PROV028",56,"steal",1,23,37,-14,0.0337255106936712,0.966274489306329,"bank",0,-320.763329225037,0.239656671386401,2
"6","PROV028",36,"steal",1,179,22,157,1,0,"steal",1,-320.763329225037,0.239656671386401,2
"7","PROV028",20,"steal",1,7,18,-11,0.0668432176766953,0.933156782323305,"bank",0,-320.763329225037,0.239656671386401,2
"8","PROV028",50,"steal",1,99,29,70,0.999999948204732,5.1795267630439e-08,"steal",1,-320.763329225037,0.239656671386401,2
"9","PROV028",62,"steal",1,27,41,-14,0.0337255106936712,0.966274489306329,"bank",0,-320.763329225037,0.239656671386401,2
"10","PROV028",24,"steal",1,145,18,127,0.99999999999994,6.03961325396085e-14,"steal",1,-320.763329225037,0.239656671386401,2
"11","PROV028",86,"steal",1,189,38,151,1,2.22044604925031e-16,"steal",1,-320.763329225037,0.239656671386401,2
"12","PROV028",9,"bank",0,41,6,35,0.999772466040543,0.000227533959457404,"steal",1,-320.763329225037,0.239656671386401,2
"13","PROV028",58,"steal",1,9,29,-20,0.00821835069648391,0.991781649303516,"bank",0,-320.763329225037,0.239656671386401,2
"14","PROV028",39,"steal",1,37,26,11,0.933156782323305,0.0668432176766952,"steal",1,-320.763329225037,0.239656671386401,2
"15","PROV028",47,"bank",0,79,43,36,0.999820945305089,0.00017905469491053,"steal",1,-320.763329225037,0.239656671386401,2
"16","PROV028",16,"steal",1,33,11,22,0.994895152458166,0.00510484754183438,"steal",1,-320.763329225037,0.239656671386401,2
"17","PROV028",38,"steal",1,103,28,75,0.999999984372761,1.56272388363021e-08,"steal",1,-320.763329225037,0.239656671386401,2
"18","PROV028",54,"steal",1,195,24,171,1,0,"steal",1,-320.763329225037,0.239656671386401,2
"19","PROV028",38,"steal",1,11,28,-17,0.0167220535463111,0.983277946453689,"bank",0,-320.763329225037,0.239656671386401,2
"20","PROV028",32,"steal",1,171,18,153,1,2.22044604925031e-16,"steal",1,-320.763329225037,0.239656671386401,2
"21","PROV028",48,"steal",1,45,32,13,0.957529089886704,0.0424709101132962,"steal",1,-320.763329225037,0.239656671386401,2
"22","PROV028",32,"steal",1,23,21,2,0.617585717559724,0.382414282440276,"steal",1,-320.763329225037,0.239656671386401,2
"23","PROV028",17,"bank",0,49,16,33,0.99963259200752,0.000367407992480473,"steal",1,-320.763329225037,0.239656671386401,2
"24","PROV028",52,"steal",1,139,21,118,0.999999999999477,5.22915044598449e-13,"steal",1,-320.763329225037,0.239656671386401,2
"25","PROV028",40,"steal",1,117,16,101,0.999999999969256,3.07440739533149e-11,"steal",1,-320.763329225037,0.239656671386401,2
