"","participant","stealTrial","actualChoice","actualChoicebin","valSteal","valBank","valDiff","probSteal","probBank","modelChoice","modelChoicebin","LL","tempr","agg"
"1","PROV026",62,"steal",1,32.9609315859533,41,-8.03906841404672,0.0191734957422737,0.980826504257726,"bank",0,-308.077050487599,0.489467994297725,0.531627928805698
"2","PROV026",86,"steal",1,45.72000187729,43,2.72000187729002,0.791064491481804,0.208935508518196,"steal",1,-308.077050487599,0.489467994297725,0.531627928805698
"3","PROV026",36,"bank",0,19.1386054370051,24,-4.86139456299487,0.0847495702386648,0.915250429761335,"bank",0,-308.077050487599,0.489467994297725,0.531627928805698
"4","PROV026",30,"bank",0,15.9488378641709,22,-6.05116213582906,0.0491794173384331,0.950820582661567,"bank",0,-308.077050487599,0.489467994297725,0.531627928805698
"5","PROV026",38,"bank",0,20.2018612946165,28,-7.79813870538348,0.0215216488268836,0.978478351173116,"bank",0,-308.077050487599,0.489467994297725,0.531627928805698
"6","PROV026",32,"bank",0,17.0120937217823,24,-6.98790627821766,0.0316652962447684,0.968334703755232,"bank",0,-308.077050487599,0.489467994297725,0.531627928805698
"7","PROV026",22,"bank",0,11.6958144337254,20,-8.30418556627464,0.0168794796763702,0.98312052032363,"bank",0,-308.077050487599,0.489467994297725,0.531627928805698
"8","PROV026",29,"bank",0,15.4172099353652,26,-10.5827900646348,0.00559685969204519,0.994403140307955,"bank",0,-308.077050487599,0.489467994297725,0.531627928805698
"9","PROV026",31,"steal",1,16.4804657929766,28,-11.5195342070234,0.00354578611336862,0.996454213886631,"bank",0,-308.077050487599,0.489467994297725,0.531627928805698
"10","PROV026",16,"bank",0,8.50604686089117,11,-2.49395313910883,0.227811485524727,0.772188514475273,"bank",0,-308.077050487599,0.489467994297725,0.531627928805698
"11","PROV026",41,"bank",0,21.7967450810336,23,-1.20325491896638,0.356874714107312,0.643125285892688,"bank",0,-308.077050487599,0.489467994297725,0.531627928805698
"12","PROV026",32,"bank",0,17.0120937217823,18,-0.987906278217665,0.381414548396521,0.618585451603479,"bank",0,-308.077050487599,0.489467994297725,0.531627928805698
"13","PROV026",74,"steal",1,39.3404667316217,33,6.34046673162165,0.957035057623999,0.0429649423760011,"steal",1,-308.077050487599,0.489467994297725,0.531627928805698
"14","PROV026",36,"bank",0,19.1386054370051,27,-7.86139456299487,0.0208792112212596,0.97912078877874,"bank",0,-308.077050487599,0.489467994297725,0.531627928805698
"15","PROV026",32,"bank",0,17.0120937217823,18,-0.987906278217665,0.381414548396521,0.618585451603479,"bank",0,-308.077050487599,0.489467994297725,0.531627928805698
"16","PROV026",99,"bank",0,52.6311649517641,44,8.6311649517641,0.98558092132322,0.0144190786767804,"steal",1,-308.077050487599,0.489467994297725,0.531627928805698
