"","participant","best agg","best tempr"
"1","PROV006","1.26554590544858","0.0509410025244636"
"2","PROV007","0.434655057425437","1.10626256657261"
"3","PROV008","0.508198757384775","0.497272633677873"
"4","PROV009","0.514015170823562","0.495337483982825"
"5","PROV010","1.24110509979497","0.366067821415081"
"6","PROV011","0.01","5"
"7","PROV012","0.01","5"
"8","PROV013","0.496735489178911","0.501697851704172"
"9","PROV015","0.438772911983709","1.05608267927908"
"10","PROV016","1.25061317656498","0.0565395281765949"
"11","PROV017","1.18661583402145","0.23093397560906"
"12","PROV018","1.24110509979616","0.366067821414341"
"13","PROV019","0.495563933629743","0.503407446028708"
"14","PROV020","0.47620570456771","0.612796219231293"
"15","PROV021","1.99993778956778","0.00523563622233221"
"16","PROV022","0.01","5"
"17","PROV023","0.397729821483304","1.43437192661769"
"18","PROV024","0.295123383798558","0.705076051278089"
"19","PROV025","0.430245904755935","1.15654597487117"
"20","PROV026","0.531627928805698","0.489467994297725"
"21","PROV027","0.295123383799691","0.705076051284708"
"22","PROV028","1.21305575982177","0.077400392169231"
"23","PROV029","1.95423370636481","1.33218220016198"
"24","PROV030","1.99967784490104","0.0110212879046764"
"25","PROV031","0.464338035710945","0.737599984693157"
