"","participant","stealTrial","actualChoice","actualChoicebin","valSteal","valBank","valDiff","probSteal","probBank","modelChoice","modelChoicebin","LL","tempr","agg"
"1","PROV009",22,"bank",0,11.3083337581184,20,-8.69166624188164,0.0133169909359377,0.986683009064062,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"2","PROV009",62,"bank",0,31.8689405910608,41,-9.13105940893916,0.0107402773715713,0.989259722628429,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"3","PROV009",22,"bank",0,11.3083337581184,21,-9.69166624188164,0.00815734629900045,0.991842653701,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"4","PROV009",24,"bank",0,12.3363640997655,18,-5.66363590023451,0.0570324666437699,0.94296753335623,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"5","PROV009",35,"steal",1,17.9905309788247,26,-8.00946902117533,0.0185713320033864,0.981428667996614,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"6","PROV009",97,"steal",1,49.8594715698855,43,6.85947156988551,0.967634249336714,0.0323657506632862,"steal",1,-310.130204668129,0.495337483982825,0.514015170823562
"7","PROV009",45,"steal",1,23.1306826870603,18,5.13068268706029,0.926994946771228,0.0730050532287724,"steal",1,-310.130204668129,0.495337483982825,0.514015170823562
"8","PROV009",30,"steal",1,15.4204551247069,22,-6.57954487529314,0.0370014357734456,0.962998564226554,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"9","PROV009",10,"steal",1,5.14015170823562,5,0.14015170823562,0.517348631593788,0.482651368406212,"steal",1,-310.130204668129,0.495337483982825,0.514015170823562
"10","PROV009",47,"steal",1,24.1587130287074,21,3.15871302870741,0.827016576112784,0.172983423887216,"steal",1,-310.130204668129,0.495337483982825,0.514015170823562
"11","PROV009",31,"steal",1,15.9344702955304,28,-12.0655297044696,0.00253124606465121,0.997468753935349,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"12","PROV009",4,"bank",0,2.05606068329425,3,-0.943939316705752,0.385191902074281,0.614808097925719,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"13","PROV009",47,"bank",0,24.1587130287074,26,-1.84128697129259,0.286578798306013,0.713421201693987,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"14","PROV009",39,"bank",0,20.0465916621189,26,-5.95340833788108,0.0497863356546242,0.950213664345376,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"15","PROV009",58,"steal",1,29.8128799077666,29,0.812879907766593,0.599324157426255,0.400675842573745,"steal",1,-310.130204668129,0.495337483982825,0.514015170823562
"16","PROV009",47,"bank",0,24.1587130287074,35,-10.8412869712926,0.00463212894147882,0.995367871058521,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"17","PROV009",15,"bank",0,7.71022756235343,10,-2.28977243764657,0.243384975633022,0.756615024366978,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"18","PROV009",47,"bank",0,24.1587130287074,43,-18.8412869712926,8.84667171586114e-05,0.999911533282841,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"19","PROV009",31,"bank",0,15.9344702955304,17,-1.06552970446958,0.371030895199123,0.628969104800877,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"20","PROV009",52,"bank",0,26.7287888828252,23,3.72878888282522,0.863775531359367,0.136224468640633,"steal",1,-310.130204668129,0.495337483982825,0.514015170823562
"21","PROV009",17,"bank",0,8.73825790400055,16,-7.26174209599945,0.0266744337057731,0.973325566294227,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"22","PROV009",15,"bank",0,7.71022756235343,14,-6.28977243764657,0.0424699615192511,0.957530038480749,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"23","PROV009",58,"bank",0,29.8128799077666,26,3.81287990776659,0.868602936206333,0.131397063793667,"steal",1,-310.130204668129,0.495337483982825,0.514015170823562
"24","PROV009",16,"steal",1,8.22424273317699,11,-2.77575726682301,0.201823431886184,0.798176568113816,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"25","PROV009",32,"bank",0,16.448485466354,18,-1.55151453364602,0.31679863148188,0.68320136851812,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"26","PROV009",23,"bank",0,11.8223489289419,54,-42.1776510710581,8.44588522589587e-10,0.999999999155411,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"27","PROV009",58,"bank",0,29.8128799077666,29,0.812879907766593,0.599324157426255,0.400675842573745,"steal",1,-310.130204668129,0.495337483982825,0.514015170823562
"28","PROV009",36,"steal",1,18.5045461496482,18,0.504546149648231,0.562156962744646,0.437843037255354,"steal",1,-310.130204668129,0.495337483982825,0.514015170823562
"29","PROV009",8,"steal",1,4.1121213665885,4,0.112121366588496,0.513880911163716,0.486119088836284,"steal",1,-310.130204668129,0.495337483982825,0.514015170823562
"30","PROV009",65,"steal",1,33.4109861035315,36,-2.58901389646847,0.217135910783567,0.782864089216433,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"31","PROV009",56,"bank",0,28.7848495661195,31,-2.21515043388053,0.250256071005136,0.749743928994864,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"32","PROV009",9,"bank",0,4.62613653741206,8,-3.37386346258794,0.158264114872701,0.841735885127299,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"33","PROV009",12,"bank",0,6.16818204988274,80,-73.8318179501173,1.3095643787632e-16,1,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"34","PROV009",74,"steal",1,38.0371226409436,33,5.03712264094359,0.923795883294835,0.0762041167051655,"steal",1,-310.130204668129,0.495337483982825,0.514015170823562
"35","PROV009",40,"bank",0,20.5606068329425,16,4.56060683294248,0.905427417996168,0.0945725820038321,"steal",1,-310.130204668129,0.495337483982825,0.514015170823562
"36","PROV009",34,"bank",0,17.4765158080011,19,-1.52348419199889,0.319811364990329,0.680188635009671,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"37","PROV009",44,"steal",1,22.6166675162367,22,0.616667516236728,0.575776355979849,0.424223644020151,"steal",1,-310.130204668129,0.495337483982825,0.514015170823562
"38","PROV009",50,"bank",0,25.7007585411781,28,-2.2992414588219,0.242522291515019,0.757477708484981,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"39","PROV009",38,"steal",1,19.5325764912954,28,-8.46742350870464,0.0148582209634856,0.985141779036514,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"40","PROV009",14,"steal",1,7.19621239152987,9,-1.80378760847013,0.290391454940813,0.709608545059187,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"41","PROV009",32,"bank",0,16.448485466354,18,-1.55151453364602,0.31679863148188,0.68320136851812,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"42","PROV009",20,"bank",0,10.2803034164712,18,-7.71969658352876,0.0213764941816249,0.978623505818375,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"43","PROV009",11,"bank",0,5.65416687905918,10,-4.34583312094082,0.104083473061406,0.895916526938594,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"44","PROV009",68,"steal",1,34.9530316160022,27,7.95303161600221,0.980912220655138,0.0190877793448616,"steal",1,-310.130204668129,0.495337483982825,0.514015170823562
"45","PROV009",30,"steal",1,15.4204551247069,20,-4.57954487529314,0.0937723730330687,0.906227626966931,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"46","PROV009",70,"bank",0,35.9810619576493,39,-3.01893804235066,0.183113621006366,0.816886378993634,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"47","PROV009",52,"bank",0,26.7287888828252,21,5.72878888282522,0.944678543633525,0.0553214563664751,"steal",1,-310.130204668129,0.495337483982825,0.514015170823562
"48","PROV009",40,"bank",0,20.5606068329425,22,-1.43939316705752,0.328939514067944,0.671060485932055,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"49","PROV009",9,"bank",0,4.62613653741206,6,-1.37386346258794,0.336143899138313,0.663856100861687,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"50","PROV009",21,"bank",0,10.7943185872948,14,-3.2056814127052,0.169680379410882,0.830319620589118,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"51","PROV009",72,"bank",0,37.0090922992965,29,8.00909229929646,0.981425266556358,0.0185747334436418,"steal",1,-310.130204668129,0.495337483982825,0.514015170823562
"52","PROV009",86,"steal",1,44.2053046908263,43,1.20530469082633,0.644977117204367,0.355022882795633,"steal",1,-310.130204668129,0.495337483982825,0.514015170823562
"53","PROV009",40,"bank",0,20.5606068329425,36,-15.4393931670575,0.000476907890576499,0.999523092109423,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"54","PROV009",32,"bank",0,16.448485466354,21,-4.55151453364602,0.094958937231358,0.905041062768642,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"55","PROV009",36,"steal",1,18.5045461496482,27,-8.49545385035177,0.014656350568979,0.985343649431021,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"56","PROV009",56,"steal",1,28.7848495661195,28,0.784849566119469,0.595985461445817,0.404014538554183,"steal",1,-310.130204668129,0.495337483982825,0.514015170823562
"57","PROV009",48,"bank",0,24.672728199531,32,-7.32727180046903,0.0258445189167179,0.974155481083282,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"58","PROV009",32,"bank",0,16.448485466354,29,-12.551514533646,0.00199078072267781,0.998009219277322,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"59","PROV009",32,"bank",0,16.448485466354,24,-7.55151453364602,0.0231905164679593,0.976809483532041,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"60","PROV009",65,"steal",1,33.4109861035315,29,4.41098610353153,0.898887738960201,0.101112261039799,"steal",1,-310.130204668129,0.495337483982825,0.514015170823562
"61","PROV009",86,"bank",0,44.2053046908263,38,6.20530469082633,0.955795611064579,0.0442043889354214,"steal",1,-310.130204668129,0.495337483982825,0.514015170823562
"62","PROV009",36,"steal",1,18.5045461496482,22,-3.49545385035177,0.150404845905198,0.849595154094802,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"63","PROV009",36,"bank",0,18.5045461496482,24,-5.49545385035177,0.0616815643595829,0.938318435640417,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"64","PROV009",50,"bank",0,25.7007585411781,29,-3.2992414588219,0.163250629542738,0.836749370457262,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"65","PROV009",23,"bank",0,11.8223489289419,22,-10.1776510710581,0.00642334583661833,0.993576654163382,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"66","PROV009",24,"bank",0,12.3363640997655,23,-10.6636359002345,0.00505606147428249,0.994943938525717,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"67","PROV009",53,"bank",0,27.2428040536488,39,-11.7571959463512,0.00294769459798026,0.99705230540202,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"68","PROV009",50,"bank",0,25.7007585411781,25,0.700758541178097,0.585917065062835,0.414082934937165,"steal",1,-310.130204668129,0.495337483982825,0.514015170823562
"69","PROV009",56,"steal",1,28.7848495661195,37,-8.21515043388053,0.0168026715498401,0.98319732845016,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"70","PROV009",29,"bank",0,14.9064399538833,26,-11.0935600461167,0.00409022729626869,0.995909772703731,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"71","PROV009",34,"bank",0,17.4765158080011,23,-5.52348419199889,0.0608828467675447,0.939117153232455,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"72","PROV009",41,"bank",0,21.074622003766,23,-1.92537799623396,0.278138943477064,0.721861056522936,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"73","PROV009",99,"bank",0,50.8875019115326,44,6.88750191153263,0.968066274329559,0.0319337256704412,"steal",1,-310.130204668129,0.495337483982825,0.514015170823562
"74","PROV009",43,"bank",0,22.1026523454132,19,3.10265234541317,0.823007798849698,0.176992201150302,"steal",1,-310.130204668129,0.495337483982825,0.514015170823562
"75","PROV009",41,"bank",0,21.074622003766,37,-15.925377996234,0.000374914839193741,0.999625085160806,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"76","PROV009",54,"bank",0,27.7568192244723,40,-12.2431807755277,0.00231851688807577,0.997681483111924,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"77","PROV009",51,"steal",1,26.2147737120017,34,-7.78522628799834,0.0207079059214346,0.979292094078565,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"78","PROV009",54,"bank",0,27.7568192244723,24,3.75681922447234,0.865401045062942,0.134598954937058,"steal",1,-310.130204668129,0.495337483982825,0.514015170823562
"79","PROV009",43,"bank",0,22.1026523454132,24,-1.89734765458683,0.280935205577915,0.719064794422085,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
"80","PROV009",56,"steal",1,28.7848495661195,28,0.784849566119469,0.595985461445817,0.404014538554183,"steal",1,-310.130204668129,0.495337483982825,0.514015170823562
"81","PROV009",38,"bank",0,19.5325764912954,28,-8.46742350870464,0.0148582209634856,0.985141779036514,"bank",0,-310.130204668129,0.495337483982825,0.514015170823562
